ID,STAR,RA,DEC,GAL,SpC,TIC,AVECROWD,MK,JK,BR,RUWE,TEFF,e_TEFF,SLOGL,IQR,e_IQR,PSI,e_PSI,SKW,e_SKW,ZCR,e_ZCR,MSP,e_MSP,MSD,e_MSD,MSC,e_MSC,MSS,e_MSS
20,2MASSJ00355205-7323575,8.966939034,-73.39931369961,SMC,B8(II),267429676,,-4.437958279644587,-0.1269998550415039,-0.045581817626953125,0.949999988079071,,,,,,,,,,,,,,,,,,,
21,BD+61127,8.97417235307,62.03642242875,MW,B2I,284139202,0.8861829649999999,-2.782795020605448,0.09099960327148438,0.35229969024658203,1.0190000534057617,,,,0.001483169500716031,7.65861477702856e-05,0.8582265148956875,0.04225970040165361,-0.1342837112016009,0.09503359097691788,0.2089230855201545,0.01724282450873528,1.529825077944004,0.07028037076056792,0.1270928629510033,0.02045639482198748,0.01083357803535022,0.002308995757082509,-0.00733069692201722,0.0012690251681562767
22,2MASSJ00360162-7358555,9.00675,-73.98208,SMC,B9(II),267428624,,-3.233958760296442,0.11299991607666016,0.013895988464355469,0.9959999918937683,,,,,,,,,,,,,,,,,,,
23,2MASSJ00361623-7357319,9.06751563984,-73.95887388255,SMC,B5(II),267428659,,-3.6849580202451726,-0.18400001525878906,-0.06672096252441406,0.9700000286102295,,,,,,,,,,,,,,,,,,,
24,2MASSJ00364251-7308124,9.1770995958,-73.13683441512,SMC,B8(II),267430199,,-4.719958821331598,0.01399993896484375,-0.05195426940917969,1.065000057220459,,,,,,,,,,,,,,,,,,,
25,2MASSJ00364259-7347380,9.1775625941,-73.79393423119,SMC,B8(II),267428919,,-3.8289580736509343,0.167999267578125,-0.11665630340576172,1.1030000448226929,,,,,,,,,,,,,,,,,,,
26,2MASSJ00364735-7345294,9.19730972986,-73.7581778539,SMC,B5(II),267428975,,-3.7059588823667546,-0.18199920654296875,-0.12731266021728516,1.0640000104904175,,,,,,,,,,,,,,,,,,,
27,MCPS0.617732-73.97332,9.26633,-73.97311,SMC,B8(II),267428639,,-3.5279584322324773,-0.2220001220703125,-0.05640602111816406,1.1180000305175781,,,,,,,,,,,,,,,,,,,
28,2MASSJ00370597-7341325,9.27485640871,-73.69235828992,SMC,B8(II),267429112,,-3.4409585390440007,-0.22099971771240234,-0.03540229797363281,0.9509999752044678,,,,,,,,,,,,,,,,,,,
29,BD+6073,9.290105,61.360121,MW,B1Ib,284207391,0.981124785,-4.496395672155611,0.22299957275390625,0.8198451995849609,0.9750000238418579,24700.0,600.0,4.043677663005951,0.01597505726385862,2.837821375578642e-05,1.50100587473631,0.1140536033580799,0.0525834635243561,0.04734589605591472,0.01791792744452977,0.0009550841488916405,0.6981836269437476,0.05899104914831499,0.3337565650600417,0.013090677057650268,-0.00243228819710136,0.00018633985667588495,0.07679331833642597,0.0031424735799058107
